Subject;Menu;engagement;memorization;attraction;workload;Duration;engagementDistance;memorizationDistance;attractionDistance;workloadDistance
31;Aarea;52,36657265;20,85861142;-0,085999135;22,27290481;5602000;887,1492459;665,3216333;1560,368706;670,0657182
32;Aarea;39,35372811;31,20073525;-11,18008265;51,37426559;7199000;727,8836564;948,8174376;1448,505144;1316,668297
33;Aarea;18,49410835;18,3379403;3,625143284;31,37554497;1992000;596,0820198;543,0038841;1322,234737;539,4849952
34;Aarea;43,47431576;33,28831069;4,882861582;50,83330808;7059000;971,3259423;1007,822266;1527,157735;1063,971744
35;Aarea;26,15852398;17,6579589;-35,84685897;32,68318345;1402000;670,5194394;523,6857485;1160,304403;522,1878202
36;Aarea;56,00894408;15,30233511;-3,136362775;29,09142211;3898000;706,3545662;719,749433;1136,89997;763,3516871
37;Aarea;32,71457671;28,0279181;53,8423795;39,57557362;2300000;514,2462135;926,2634412;1895,638064;716,3122932
38;Aarea;44,26949527;35,07066701;2,741442466;27,65898758;2801000;665,0823488;648,2099342;1140,877412;626,6171065
39;Aarea;26,49960738;13,22136853;33,57763708;22,38047144;2300000;676,9303851;644,3171291;1150,970995;784,8216469
40;Aarea;50,24091986;44,0146415;46,73635665;64,94464683;2602000;659,3436038;865,8087895;1465,365554;1005,966152
41;Aarea;31,22284522;19,06545284;-17,81895562;20,18427103;2200000;557,9763545;534,1723317;1427,987369;603,6562802
42;Aarea;44,21210616;15,81626076;-3,151831557;18,42270773;3902000;613,5875859;560,3471669;1467,335239;708,8914757
43;Aarea;27,68497754;28,13391606;9,558498965;20,65738765;5500000;778,6459852;781,9273368;1583,343498;697,9065099
44;Aarea;25,43334584;33,36990536;2,114883328;40,61856679;2402000;573,7387226;544,3763511;1384,441053;610,3299072
45;Aarea;34,22351038;20,87366462;-3,414298348;13,57108946;4301000;711,8134474;583,6463014;1518,19771;610,1955145
46;Aarea;45,96975251;18,297923;-1,938634251;37,50610409;2598000;528,440805;548,0900811;1092,097447;598,77039
47;Aarea;20,01894772;20,39386686;9,110184314;21,85969444;3000000;572,0237159;512,6370784;1174,060981;761,4402022
48;Aarea;44,56882788;14,77107275;-43,53700258;21,33066781;2700000;705,9208306;726,0492649;1266,005939;660,1842541
